Année;Mois;Service;Gare de départ;Gare d'arrivée;Durée moyenne du trajet (min);Nombre de circulations prévues;Nombre de trains annulés;;Nombre de trains en retard au départ;Retard moyen des trains en retard au départ (min);Retard moyen de tous les trains au départ (min);;Nombre de trains en retard à l'arrivée;Retard moyen des trains en retard à l'arrivée (min);Retard moyen de tous les trains à l'arrivée (min);;% trains en retard pour causes externes (météo, obstacles, colis suspects, malveillance, mouvements sociaux, etc.);% trains en retard à cause infrastructure ferroviaire (maintenance, travaux);% trains en retard à cause gestion trafic (circulation sur ligne ferroviaire, interactions réseaux);% trains en retard à cause matériel roulant;% trains en retard à cause gestion en gare et réutilisation de matériel;% trains en retard à cause prise en compte voyageurs (affluence, gestions PSH, correspondances);Nombre trains en retard > 15min;Retard moyen trains en retard > 15min;Nombre trains en retard > 30min;Nombre trains en retard > 60min;Période;Retard pour causes externes;Retard à cause infrastructure ferroviaire;Retard à cause gestion trafic;Retard à cause matériel roulant;Retard à cause gestion en gare et réutilisation de matériel;Retard à cause prise en compte voyageurs
2015;1.0;National;PARIS LYON;TOULON;229.929824561;231.0;3.0;;11.0;21.5454545455;1.25;;31.0;40.6451612903;8.92543859649;;0.357142857143;0.178571428571;0.285714285714;0.0714285714286;0.0714285714286;0.0357142857143;31.0;40.6451612903;15.0;4.0;2015-01;35.7142857143;17.8571428571;28.5714285714;7.14285714286;7.14285714286;3.57142857143
2015;1.0;National;PARIS MONTPARNASSE;RENNES;132.775590551;508.0;0.0;;18.0;16.4444444444;0.748031496063;;34.0;30.7058823529;2.44881889764;;0.393939393939;0.151515151515;0.0606060606061;0.212121212121;0.0909090909091;0.0909090909091;22.0;40.4545454545;10.0;4.0;2015-01;39.3939393939;15.1515151515;6.06060606061;21.212121212099998;9.09090909091;9.09090909091
2015;1.0;National;PARIS MONTPARNASSE;POITIERS;105.058091286;482.0;0.0;;9.0;29.1111111111;0.651452282158;;24.0;36.875;2.16597510373;;0.277777777778;0.388888888889;0.0555555555556;0.111111111111;0.111111111111;0.0555555555556;16.0;49.0625;8.0;6.0;2015-01;27.7777777778;38.8888888889;5.555555555560001;11.1111111111;11.1111111111;5.555555555560001
2015;1.0;National;MARSEILLE ST CHARLES;PARIS LYON;196.985365854;411.0;1.0;;15.0;18.2;0.848780487805;;30.0;37.6666666667;2.17073170732;;0.37037037037;0.111111111111;0.111111111111;0.222222222222;0.0740740740741;0.111111111111;30.0;37.6666666667;17.0;2.0;2015-01;37.037037037;11.1111111111;11.1111111111;22.2222222222;7.407407407409999;11.1111111111
2015;1.0;National;PARIS MONTPARNASSE;NANTES;134.252964427;506.0;0.0;;9.0;23.2222222222;0.565217391304;;41.0;22.2926829268;3.68972332016;;0.305555555556;0.25;0.138888888889;0.25;0.0;0.0555555555556;21.0;31.7142857143;7.0;1.0;2015-01;30.5555555556;25.0;13.8888888889;25.0;0.0;5.555555555560001
2015;1.0;National;STRASBOURG;PARIS EST;142.087438424;406.0;0.0;;32.0;14.34375;1.5763546798;;36.0;31.1111111111;3.3078817734;;0.2;0.333333333333;0.3;0.1;0.0666666666667;0.0;21.0;44.619047619;11.0;5.0;2015-01;20.0;33.333333333300004;30.0;10.0;6.66666666667;0.0
2015;1.0;National;PARIS MONTPARNASSE;TOURS;74.6171428571;175.0;0.0;;3.0;42.0;0.897142857143;;23.0;15.7826086957;2.83428571429;;0.222222222222;0.277777777778;0.111111111111;0.111111111111;0.166666666667;0.111111111111;4.0;45.0;3.0;1.0;2015-01;22.2222222222;27.7777777778;11.1111111111;11.1111111111;16.6666666667;11.1111111111
2015;1.0;National;VANNES;PARIS MONTPARNASSE;214.417061611;212.0;1.0;;3.0;8.66666666667;0.208530805687;;11.0;32.0909090909;1.61137440758;;0.7;0.3;0.0;0.0;0.0;0.0;11.0;32.0909090909;4.0;1.0;2015-01;70.0;30.0;0.0;0.0;0.0;0.0
2015;1.0;National;PARIS LYON;ANNECY;222.423566879;159.0;2.0;;3.0;55.0;1.1974522293;;10.0;55.1;5.42038216561;;0.6;0.1;0.2;0.1;0.0;0.0;10.0;55.1;8.0;2.0;2015-01;60.0;10.0;20.0;10.0;0.0;0.0
2015;1.0;National;MARSEILLE ST CHARLES;LILLE;295.19047619;210.0;0.0;;25.0;22.56;3.0380952381;;52.0;36.1538461538;10.9619047619;;0.28;0.14;0.12;0.12;0.16;0.18;52.0;36.1538461538;19.0;7.0;2015-01;28.000000000000004;14.000000000000002;12.0;12.0;16.0;18.0
2015;1.0;National;LYON PART DIEU;MARSEILLE ST CHARLES;100.970950704;569.0;1.0;;135.0;31.1111111111;8.04577464789;;116.0;40.9224137931;9.22535211268;;0.425925925926;0.12962962963;0.194444444444;0.111111111111;0.0648148148148;0.0740740740741;93.0;47.6451612903;48.0;26.0;2015-01;42.5925925926;12.962962962999999;19.4444444444;11.1111111111;6.48148148148;7.407407407409999
